conversation_id_str,full_text,lang,location,Stemming,Paslon,InSet_Score,Sentistrength_Score,Combined_Score
1734645140638044395,pak anis combud sm sp yak bisa bikin materi roasting pinggir jurang gt,in,"Copenhagen, Denmark","['pak', 'anis', 'combud', 'sm', 'sp', 'yak', 'bikin', 'materi', 'roasting', 'pinggir', 'jurang', 'gt']",Anies,-4.0,-2.0,-6.0
1734658992256045236,pak anis mending u drag down si putih. Ingt dblkngnya siapa,in,,"['pak', 'anis', 'mending', 'u', 'drag', 'down', 'si', 'putih', 'ingt', 'dblkngnya', 'siapa']",Anies,-4.0,0.0,-4.0
1734635092092276817,minta maaf klo kesannya gasuka pa anis soalnya emang iya,in,reading thread ➡️,"['minta', 'maaf', 'klo', 'kesan', 'gasuka', 'pa', 'anis', 'soal', 'emang', 'iya']",Anies,-6.0,2.0,-4.0
1734655399985594629,coba review debat dr pov kalian (honest review)!! anis ok the way dia argue prabowo joget gemoynya kinda over apalagi di issue yg sensitif hehe ganjar ok jg tp dosa dia ttg wadas blm kesentuh hihi,in,JKT - TGR,"['coba', 'review', 'debat', 'dr', 'pov', 'kalian', 'honest', 'review', 'anis', 'the', 'way', 'argue', 'prabowo', 'joget', 'gemoynya', 'kinda', 'over', 'issue', 'yg', 'sensitif', 'hehe', 'ganjar', 'jg', 'tp', 'dosa', 'ttg', 'wadas', 'blm', 'sentuh', 'hihi']",Anies,8.0,-3.0,5.0
1734653383406125297,Beneran beda bgt cuyy twitter sm tiktok. Twitter banyakan anis tiktok kebanyakan prabowo,in,Tgr,"['beneran', 'beda', 'bgt', 'cuyy', 'twitter', 'sm', 'tiktok', 'twitter', 'banyak', 'anis', 'tiktok', 'banyak', 'prabowo']",Anies,7.0,0.0,7.0
1734655544005431592,Pak mnding sklian bngkarin kebusukan pemili taun kmrin kan rival u pmerah. Sedih bgt pak u jd terlihat rendah jirrrr jwbin tegas aja pak ato klo gk kuat ya sindirin pmerah yg dseblah u jgn ke partai ungu. Libas simerah drag down nin shrusnya u emosi ke merah not pak anis,in,,"['pak', 'mnding', 'sklian', 'bngkarin', 'busuk', 'pil', 'taun', 'kmrin', 'kan', 'rival', 'u', 'pmerah', 'sedih', 'bgt', 'pak', 'u', 'jd', 'lihat', 'rendah', 'jirrrr', 'jwbin', 'tegas', 'aja', 'pak', 'ato', 'klo', 'gk', 'kuat', 'sindirin', 'pmerah', 'yg', 'dseblah', 'u', 'jgn', 'partai', 'ungu', 'libas', 'simerah', 'drag', 'down', 'nin', 'shrusnya', 'u', 'emosi', 'merah', 'not', 'pak', 'anis']",Anies,-10.0,-1.0,-11.0
1734664082681393421,Salah satu capres yang peduli kepada wong cilik Anis turut prihatin tentang KDRT #Menangseputaran https://t.co/Bm8c5xy7MB,in,"Jawa Tengah, Indonesia","['salah', 'satu', 'capres', 'peduli', 'wong', 'cilik', 'anis', 'turut', 'prihatin', 'kd']",Anies,2.0,3.0,5.0
1734668890423058731,dewasa itu mobrak mabrik gara-gara cinta,in,Solo,"['dewasa', 'mobrak', 'mabrik', 'garagara', 'cinta']",Anies,5.0,4.0,9.0
1734647190985793660,Setelah melihat secara objektif debat pertama di menangkan pak anis. Pak prabowo sangat tertekan dengan serangan pak anis sampe kelihatan emosinya. Pak ganjar gak ada yang spesial main aman saja.,in,"Makassar, Indonesia","['lihat', 'cara', 'objektif', 'debat', 'pertama', 'menang', 'pak', 'anis', 'pak', 'prabowo', 'sangat', 'tekan', 'serang', 'pak', 'anis', 'sampe', 'lihat', 'emosi', 'pak', 'ganjar', 'gak', 'spesial', 'main', 'aman']",Anies,28.0,1.0,29.0
1734655296356909358,tiktok ku isine kok dadi anis tok ngene ya? tanda e opo iku rek,in,,"['tiktok', 'ku', 'isine', 'kok', 'dadi', 'anis', 'tok', 'ngene', 'tanda', 'e', 'opo', 'iku', 'rek']",Anies,-2.0,-1.0,-3.0
